Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, and COVID-19 Deaths",Footnote
05/01/2020,02/01/2020,04/25/2020,Missouri,Male,25-34 years,0,175,,0,,11,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Missouri,Male,35-44 years,0,243,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Missouri,Male,45-54 years,,476,28,,,41,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Missouri,Male,55-64 years,15,"1,216",91,,17,118,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Missouri,Male,65-74 years,28,"1,833",120,11,14,151,
05/01/2020,02/01/2020,04/25/2020,Missouri,Male,75-84 years,32,"2,009",130,,20,173,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Missouri,Male,85 years and over,21,"1,709",136,,14,163,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Missouri,Male Total,"Male, all ages",103,"7,802",518,36,85,670,
05/01/2020,02/01/2020,04/25/2020,Missouri,Female,Under 1 year,0,30,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Missouri,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Missouri,Female,5-14 years,0,,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Missouri,Female,15-24 years,0,28,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Missouri,Female,25-34 years,,72,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Missouri,Female,35-44 years,0,143,10,0,,11,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Missouri,Female,45-54 years,,308,12,0,,17,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Missouri,Female,55-64 years,10,757,53,,,70,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Missouri,Female,65-74 years,25,"1,374",87,,16,122,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Missouri,Female,75-84 years,19,"1,883",128,11,32,168,
05/01/2020,02/01/2020,04/25/2020,Missouri,Female,85 years and over,37,"2,754",161,13,19,204,
05/01/2020,02/01/2020,04/25/2020,Missouri,Female Total,"Female, all ages",93,"7,361",453,32,84,598,
05/01/2020,02/01/2020,04/25/2020,Missouri,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Missouri Total,All sexes,All Ages,196,"15,163",971,68,169,"1,268",
05/01/2020,02/01/2020,04/25/2020,Montana,Male,Under 1 year,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Male,15-24 years,0,15,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Montana,Male,25-34 years,0,29,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Male,35-44 years,0,29,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Male,45-54 years,0,61,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Male,55-64 years,0,163,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Male,65-74 years,,305,19,0,,22,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Male,75-84 years,,307,22,,,27,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Male,85 years and over,0,315,29,0,,34,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Male Total,"Male, all ages",,"1,234",81,,17,100,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Female,Under 1 year,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Female,1-4 years,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Montana,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Female,15-24 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Female,25-34 years,0,17,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Montana,Female,35-44 years,0,17,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Female,45-54 years,0,37,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Montana,Female,55-64 years,0,106,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Female,65-74 years,0,180,14,0,,20,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Female,75-84 years,,220,12,0,,14,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Female,85 years and over,,424,20,0,,27,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Female Total,"Female, all ages",,"1,014",51,0,15,69,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Montana,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Montana Total,All sexes,All Ages,,"2,248",132,,32,169,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Male,Under 1 year,0,13,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Nebraska,Male,1-4 years,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Nebraska,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Male,15-24 years,0,23,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Male,25-34 years,0,44,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Male,35-44 years,0,40,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Nebraska,Male,45-54 years,0,89,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Male,55-64 years,,283,24,0,,28,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Male,65-74 years,,420,21,0,,25,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Male,75-84 years,,486,32,,,37,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Male,85 years and over,,526,51,,,55,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Male Total,"Male, all ages",11,"1,928",137,,10,156,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Female,Under 1 year,0,11,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Nebraska,Female,1-4 years,0,,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Female,5-14 years,0,,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Female,15-24 years,0,10,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Nebraska,Female,25-34 years,0,14,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Female,35-44 years,0,35,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Female,45-54 years,0,65,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Female,55-64 years,,196,18,,,22,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Female,65-74 years,,337,26,0,,30,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Female,75-84 years,,488,44,,,46,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Female,85 years and over,,875,71,,,82,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Female Total,"Female, all ages",10,"2,043",169,,17,193,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nebraska,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Nebraska Total,All sexes,All Ages,21,"3,971",306,,27,349,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Male,Under 1 year,0,14,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Nevada,Male,1-4 years,0,,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Male,5-14 years,0,,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Male,15-24 years,0,56,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Male,25-34 years,0,95,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Male,35-44 years,,138,,,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Male,45-54 years,,231,18,,,21,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Male,55-64 years,10,535,44,,,50,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Male,65-74 years,25,853,78,21,,87,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Male,75-84 years,20,954,80,14,,94,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Male,85 years and over,14,694,61,13,,63,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Male Total,"Male, all ages",75,"3,581",294,59,19,329,
05/01/2020,02/01/2020,04/25/2020,Nevada,Female,Under 1 year,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Female,15-24 years,0,18,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Female,25-34 years,,37,,,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Female,35-44 years,,58,,,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Female,45-54 years,,134,14,,,19,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Female,55-64 years,,365,32,,,38,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Female,65-74 years,14,630,67,12,,72,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Female,75-84 years,15,746,72,14,,76,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Female,85 years and over,14,847,48,,,55,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Nevada,Female Total,"Female, all ages",59,"2,850",240,47,17,269,
05/01/2020,02/01/2020,04/25/2020,Nevada,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Nevada Total,All sexes,All Ages,134,"6,431",534,106,36,598,
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Male,Under 1 year,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Male,5-14 years,0,,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Male,15-24 years,,16,0,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Male,25-34 years,0,42,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Male,35-44 years,0,39,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Male,45-54 years,,92,,,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Male,55-64 years,,213,17,,0,19,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Male,65-74 years,,361,24,,,30,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Male,75-84 years,12,394,32,,,45,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Male,85 years and over,14,429,37,,,49,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Male Total,"Male, all ages",38,"1,596",119,14,11,154,
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Female,Under 1 year,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Female,15-24 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Female,25-34 years,0,23,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Female,35-44 years,0,27,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Female,45-54 years,0,61,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Female,55-64 years,0,172,11,0,,14,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Female,65-74 years,,262,20,0,,29,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Female,75-84 years,,365,32,,,34,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Female,85 years and over,13,686,40,,,58,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Female Total,"Female, all ages",18,"1,611",105,,18,137,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Hampshire,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,New Hampshire Total,All sexes,All Ages,56,"3,207",224,18,29,291,
05/01/2020,02/01/2020,04/25/2020,New Jersey,Male,Under 1 year,0,41,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,New Jersey,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Jersey,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Jersey,Male,15-24 years,,87,0,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Jersey,Male,25-34 years,30,265,21,18,0,33,
05/01/2020,02/01/2020,04/25/2020,New Jersey,Male,35-44 years,66,410,57,39,,85,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Jersey,Male,45-54 years,187,839,128,87,,235,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Jersey,Male,55-64 years,417,"1,851",328,211,,541,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Jersey,Male,65-74 years,565,"2,672",476,283,11,768,
05/01/2020,02/01/2020,04/25/2020,New Jersey,Male,75-84 years,762,"3,398",634,381,19,"1,032",
05/01/2020,02/01/2020,04/25/2020,New Jersey,Male,85 years and over,767,"3,881",724,398,17,"1,110",
05/01/2020,02/01/2020,04/25/2020,New Jersey,Male Total,"Male, all ages","2,795","13,461","2,368","1,417",62,"3,805",
05/01/2020,02/01/2020,04/25/2020,New Jersey,Female,Under 1 year,0,40,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Jersey,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Jersey,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Jersey,Female,15-24 years,0,30,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Jersey,Female,25-34 years,10,123,10,,,18,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Jersey,Female,35-44 years,24,178,19,12,,32,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Jersey,Female,45-54 years,57,416,51,28,,81,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Jersey,Female,55-64 years,191,"1,068",153,103,,245,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Jersey,Female,65-74 years,335,"1,837",281,169,,450,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Jersey,Female,75-84 years,624,"3,232",524,307,12,852,
05/01/2020,02/01/2020,04/25/2020,New Jersey,Female,85 years and over,"1,073","6,401",933,506,21,"1,520",
05/01/2020,02/01/2020,04/25/2020,New Jersey,Female Total,"Female, all ages","2,314","13,333","1,973","1,129",48,"3,201",
05/01/2020,02/01/2020,04/25/2020,New Jersey,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,New Jersey Total,All sexes,All Ages,"5,109","26,794","4,341","2,546",110,"7,006",
05/01/2020,02/01/2020,04/25/2020,New Mexico,Male,Under 1 year,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Male,5-14 years,0,,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Male,15-24 years,0,31,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Male,25-34 years,,71,,,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Male,35-44 years,,109,,,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Male,45-54 years,,139,,,,10,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Male,55-64 years,,329,26,,0,26,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Male,65-74 years,,445,25,,,28,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Male,75-84 years,,548,48,,,52,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Male,85 years and over,,487,37,,,41,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Male Total,"Male, all ages",17,"2,172",150,12,12,167,
05/01/2020,02/01/2020,04/25/2020,New Mexico,Female,Under 1 year,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Female,1-4 years,0,,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Female,15-24 years,0,11,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Female,25-34 years,0,33,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Female,35-44 years,,55,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Female,45-54 years,0,89,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Female,55-64 years,,190,18,,,21,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Female,65-74 years,,350,29,,,32,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Female,75-84 years,,476,42,,,45,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Female,85 years and over,,723,43,,,50,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New Mexico,Female Total,"Female, all ages",19,"1,941",141,10,13,163,
05/01/2020,02/01/2020,04/25/2020,New Mexico,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,New Mexico Total,All sexes,All Ages,36,"4,113",291,22,25,330,
05/01/2020,02/01/2020,04/25/2020,New York,Male,Under 1 year,0,59,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,New York,Male,1-4 years,0,12,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New York,Male,5-14 years,0,14,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New York,Male,15-24 years,,126,,,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New York,Male,25-34 years,20,335,17,11,,28,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,New York,Male,35-44 years,56,414,37,26,,68,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
